Раздел A;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
Подраздел AА;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
01.12.000;;Продукция овощеводства, декоративного садоводства и питомников;
01.12.110;;Овощные корнеплоды;
01.12.111;Тонна;Столовая морковь;G
01.12.112;Тонна;Столовая свекла;G
01.12.120;Тонна;Овощные луковичные культуры;G
01.12.130;Тонна;Томаты (помидоры);G
01.12.140;Тонна;Огурцы;G
01.12.150;Тонна;Бобовые овощи;G
01.12.160;Тонна;Бахчевые продовольственные культуры;G
01.12.170;Тонна;Капуста;G
01.12.180;Тонна;Овощные салатные культуры;G
01.12.210;Тонна;Овощные зеленные культуры;G
01.12.220;Тонна;Грибы;G
01.12.230;Тонна;Тыквенные культуры;G
01.12.250;Тонна;Луковицы, клубнелуковицы, корневища цветов;G
01.12.260;Тонна;Луковицы, клубнелуковицы, корневища и другие части растений, не используемых в декоративных целях;G
01.12.270;Тысяча штук;Рассада;G
01.12.280;Тысяча штук;Плодовые и ягодные культуры (кроме винограда), включая черенки и отводки;G
01.12.310;Тысяча штук;Декоративные культуры, включая черенки и отводки;G
01.12.320;Штука;Сеянцы деревьев и кустарников;G
01.12.330;Штука;Саженцы деревьев и кустарников;G
01.12.340;Килограмм;Мицелий гриба (грибница);G
01.12.350;;Срезанные цветы и цветочные бутоны;
01.12.351;Штука;Срезанные розы;G
01.12.352;Штука;Срезанные гвоздики;G
01.12.353;Штука;Срезанные орхидеи;G
01.12.354;Штука;Срезанные гладиолусы;G
01.12.355;Штука;Срезанные хризантемы;G
01.12.356;Штука;Прочие срезанные цветы;G
01.12.370;;Семена цветочных и плодовых культур, дикорастущих деревьев и кустарников;
01.12.371;Килограмм;Семена цветочных культур;G
01.12.372;Килограмм;Семена плодовых и ягодных культур;G
01.12.373;Тонна;Семена дикорастущих деревьев и кустарников;G
01.12.410;;Семена овощных культур;
01.12.411;Тонна;Семена свеклы (кроме сахарной);G
01.12.412;Тонна;Семена однолетних овощных культур (кроме свеклы);G
01.12.413;Тонна;Семена двухлетних овощных культур;G
01.12.414;Тонна;Семена многолетних овощных культур;G
01.12.415;Тонна;Семена бахчевых культур;G
01.12.416;Тонна;Семенники овощных культур;G
01.12.417;Тонна;Семенники бахчевых культур;G
01.12.418;Тонна;Маточники овощных культур (кроме свеклы);G
01.12.990;;Прочие виды товаров, относящиеся к группировке 01.12.000;G
01.13.000;;Фрукты, ягоды, орехи, культуры для производства напитков и пряностей;
01.13.110;Тонна;Столовый виноград;G
01.13.120;Тонна;Виноград винных сортов;G
01.13.130;Тонна;Свежий виноград кишмишных сортов;G
01.13.140;Тонна;Свежий виноград прочих сортов, не включенный в другие группировки;G
01.13.150;Тонна;Финики, инжир, ананасы, авокадо, гуайява, манго и мангостан;G
01.13.160;Тонна;Бананы, включая плантайны;G
01.13.170;Тонна;Кокосовые и бразильские орехи, орехи кешью, в скорлупе или очищенные;G
01.13.180;Тонна;Апельсины;G
01.13.210;Тонна;"Мандарины, включая танжерины и сатсума (уншиу); клементины, вилкинги и аналогичные гибриды цитрусовых";G
01.13.220;Тонна;Лимоны и лаймы;G
01.13.230;Тонна;Грейпфруты;G
01.13.240;Тонна;Плоды прочих цитрусовых культур;G
01.13.250;;Плоды семечковых культур;
01.13.251;Тонна;Яблоки;G
01.13.252;Тонна;Груши;G
01.13.253;Тонна;Айва;G
01.13.254;Тонна;Рябина;G
01.13.255;Тонна;Боярышник;G
01.13.256;Тонна;Шиповник;G
01.13.257;Тонна;Ирга;G
01.13.258;Тонна;Плоды прочих семечковых культур;G
01.13.260;Тонна;Плоды косточковых культур;G
01.13.270;Тонна;Плоды ягодных культур;G
01.13.280;Тонна;Плоды тропических и субтропических культур, не включенные в другие группировки;G
01.13.310;Тонна;Плоды рожкового дерева;G
01.13.330;Тонна;Оливки (маслины);G
01.13.340;Тонна;Орехи, не включенные в другие группировки;G
01.13.350;Тонна;Нежареный кофе, содержащий кофеин;G
01.13.360;Тонна;Зеленый чай неферментированный;G
01.13.370;Тонна;Черный чай ферментированный и частично ферментированный;G
01.13.410;Тонна;Мате;G
01.13.420;Тонна;Какао-бобы;G
01.13.440;;Необработанные пряности;
01.13.441;Тонна;Необработанный перец;G
01.13.442;Килограмм;Необработанная ваниль;G
01.13.443;Килограмм;Необработанная корица (кора и цветки коричного дерева);G
01.13.444;Килограмм;Необработанная гвоздика (цветы и плоды гвощдичного дерева);G
01.13.445;Килограмм;Необработанные мускатный орех, мацис и кардамон;G
01.13.446;Килограмм;"Необработанные семена аниса, бадьяна, фенхеля, кориандра, укропа, тмина; ягоды можжевельника";G
01.13.447;Килограмм;Необработанные имбирь, шафран, тимьян, лавровый лист, карри;G
01.13.990;;Прочие виды товаров, относящиеся к группировке 01.13.000;G
01.2;;Живые животные и продукты животного происхождения;
01.21.000;;Живой крупный рогатый скот и продукция его разведения, живые дикие жвачные животные;
01.21.110;Голова;Чистопородный племенной крупный рогатый скот;G
01.21.120;Голова;Взрослый крупный рогатый скот молочного стада, кроме чистопородного племенного;G
01.21.130;Голова;Молодняк крупного рогатого скота молочного стада, кроме чистопородного племенного;G
01.21.140;Голова;Взрослый крупный рогатый скот мясного стада, кроме, чистопородного племенного;G
01.21.150;Голова;Молодняк крупного рогатого скота мясного стада, кроме чистопородного племенного;G
01.21.160;Голова;Волы;G
01.21.210;Голова;Дикие жвачные животные;G
01.21.220;Голова;Телята до 1 года молочного скота;G
01.21.230;Голова;Телята до 1 года мясного скота;G
01.21.310;"Литр; кубический дециметр";Сырое коровье молоко;G
