code;measure;name;level;parent;type
01.11.880;Тонна;Натуральный латекс, подвулканизованный или неподвулканизованный;6;01.11.000;G
01.11.910;Тонна;Натуральный каучук в других формах;6;01.11.000;G
01.11.930;Тонна;Эфиромасличные культуры;6;01.11.000;G
01.11.940;Тонна;Лекарственные культуры;6;01.11.000;G
01.11.950;;Семена сахарной свеклы и семена кормовых культур;6;01.11.000;
01.11.951;Тонна;Семена и другой семенной материал сахарной свеклы;7;01.11.950;G
01.11.952;Тонна;Семена и другой семенной материал кормовых корнеплодов;7;01.11.950;G
01.11.953;Тонна;Семена однолетних трав;7;01.11.950;G
01.11.954;Тонна;Семена многолетних трав;7;01.11.950;G
01.11.960;Тонна;Шишки хмеля;6;01.11.000;G
01.11.990;Тонна;Прочие виды товаров, относящиеся к группировке 01.11.000;6;01.11.000;G
01.12.000;;Продукция овощеводства, декоративного садоводства и питомников;5;01.1;
01.12.110;;Овощные корнеплоды;6;01.12.000;
01.12.111;Тонна;Столовая морковь;7;01.12.110;G
01.12.112;Тонна;Столовая свекла;7;01.12.110;G
01.12.120;Тонна;Овощные луковичные культуры;6;01.12.000;G
01.12.130;Тонна;Томаты (помидоры);6;01.12.000;G
01.12.140;Тонна;Огурцы;6;01.12.000;G
01.12.150;Тонна;Бобовые овощи;6;01.12.000;G
01.12.160;Тонна;Бахчевые продовольственные культуры;6;01.12.000;G
01.12.170;Тонна;Капуста;6;01.12.000;G
01.12.180;Тонна;Овощные салатные культуры;6;01.12.000;G
01.12.210;Тонна;Овощные зеленные культуры;6;01.12.000;G
01.12.220;Тонна;Грибы;6;01.12.000;G
01.12.230;Тонна;Тыквенные культуры;6;01.12.000;G
01.12.250;Тонна;Луковицы, клубнелуковицы, корневища цветов;6;01.12.000;G
01.12.260;Тонна;Луковицы, клубнелуковицы, корневища и другие части растений, не используемых в декоративных целях;6;01.12.000;G
01.12.270;Тысяча штук;Рассада;6;01.12.000;G
01.12.280;Тысяча штук;Плодовые и ягодные культуры (кроме винограда), включая черенки и отводки;6;01.12.000;G
01.12.310;Тысяча штук;Декоративные культуры, включая черенки и отводки;6;01.12.000;G
01.12.320;Штука;Сеянцы деревьев и кустарников;6;01.12.000;G
01.12.330;Штука;Саженцы деревьев и кустарников;6;01.12.000;G
01.12.340;Килограмм;Мицелий гриба (грибница);6;01.12.000;G
01.12.350;;Срезанные цветы и цветочные бутоны;6;01.12.000;
01.12.351;Штука;Срезанные розы;7;01.12.350;G
01.12.352;Штука;Срезанные гвоздики;7;01.12.350;G
01.12.353;Штука;Срезанные орхидеи;7;01.12.350;G
01.12.354;Штука;Срезанные гладиолусы;7;01.12.350;G
01.12.355;Штука;Срезанные хризантемы;7;01.12.350;G
01.12.356;Штука;Прочие срезанные цветы;7;01.12.350;G
01.12.370;;Семена цветочных и плодовых культур, дикорастущих деревьев и кустарников;6;01.12.000;
01.12.371;Килограмм;Семена цветочных культур;7;01.12.370;G
01.12.372;Килограмм;Семена плодовых и ягодных культур;7;01.12.370;G
01.12.373;Тонна;Семена дикорастущих деревьев и кустарников;7;01.12.370;G
01.12.410;;Семена овощных культур;6;01.12.000;
01.12.411;Тонна;Семена свеклы (кроме сахарной);7;01.12.410;G
01.12.412;Тонна;Семена однолетних овощных культур (кроме свеклы);7;01.12.410;G
01.12.413;Тонна;Семена двухлетних овощных культур;7;01.12.410;G
01.12.414;Тонна;Семена многолетних овощных культур;7;01.12.410;G
01.12.415;Тонна;Семена бахчевых культур;7;01.12.410;G
01.12.416;Тонна;Семенники овощных культур;7;01.12.410;G
01.12.417;Тонна;Семенники бахчевых культур;7;01.12.410;G
01.12.418;Тонна;Маточники овощных культур (кроме свеклы);7;01.12.410;G
01.12.990;;Прочие виды товаров, относящиеся к группировке 01.12.000;6;01.12.000;G
01.13.000;;Фрукты, ягоды, орехи, культуры для производства напитков и пряностей;5;01.1;
01.13.110;Тонна;Столовый виноград;6;01.13.000;G
01.13.120;Тонна;Виноград винных сортов;6;01.13.000;G
01.13.130;Тонна;Свежий виноград кишмишных сортов;6;01.13.000;G
01.13.140;Тонна;Свежий виноград прочих сортов, не включенный в другие группировки;6;01.13.000;G
01.13.150;Тонна;Финики, инжир, ананасы, авокадо, гуайява, манго и мангостан;6;01.13.000;G
01.13.160;Тонна;Бананы, включая плантайны;6;01.13.000;G
01.13.170;Тонна;Кокосовые и бразильские орехи, орехи кешью, в скорлупе или очищенные;6;01.13.000;G
01.13.180;Тонна;Апельсины;6;01.13.000;G
01.13.210;Тонна;Мандарины, включая танжерины и сатсума (уншиу); клементины, вилкинги и аналогичные гибриды цитрусовых;6;01.13.000;G
01.13.220;Тонна;Лимоны и лаймы;6;01.13.000;G
01.13.230;Тонна;Грейпфруты;6;01.13.000;G
01.13.240;Тонна;Плоды прочих цитрусовых культур;6;01.13.000;G
01.13.250;;Плоды семечковых культур;6;01.13.000;
01.13.251;Тонна;Яблоки;7;01.13.250;G
01.13.252;Тонна;Груши;7;01.13.250;G
01.13.253;Тонна;Айва;7;01.13.250;G
01.13.254;Тонна;Рябина;7;01.13.250;G
01.13.255;Тонна;Боярышник;7;01.13.250;G
01.13.256;Тонна;Шиповник;7;01.13.250;G
01.13.257;Тонна;Ирга;7;01.13.250;G
01.13.258;Тонна;Плоды прочих семечковых культур;7;01.13.250;G
01.13.260;Тонна;Плоды косточковых культур;6;01.13.000;G
01.13.270;Тонна;Плоды ягодных культур;6;01.13.000;G
01.13.280;Тонна;Плоды тропических и субтропических культур, не включенные в другие группировки;6;01.13.000;G
01.13.310;Тонна;Плоды рожкового дерева;6;01.13.000;G
01.13.330;Тонна;Оливки (маслины);6;01.13.000;G
01.13.340;Тонна;Орехи, не включенные в другие группировки;6;01.13.000;G
01.13.350;Тонна;Нежареный кофе, содержащий кофеин;6;01.13.000;G
01.13.360;Тонна;Зеленый чай неферментированный;6;01.13.000;G
01.13.370;Тонна;Черный чай ферментированный и частично ферментированный;6;01.13.000;G
01.13.410;Тонна;Мате;6;01.13.000;G
01.13.420;Тонна;Какао-бобы;6;01.13.000;G
01.13.440;;Необработанные пряности;6;01.13.000;
01.13.441;Тонна;Необработанный перец;7;01.13.440;G
01.13.442;Килограмм;Необработанная ваниль;7;01.13.440;G
01.13.443;Килограмм;Необработанная корица (кора и цветки коричного дерева);7;01.13.440;G
01.13.444;Килограмм;Необработанная гвоздика (цветы и плоды гвощдичного дерева);7;01.13.440;G
01.13.445;Килограмм;Необработанные мускатный орех, мацис и кардамон;7;01.13.440;G
01.13.446;Килограмм;Необработанные семена аниса, бадьяна, фенхеля, кориандра, укропа, тмина; ягоды можжевельника;7;01.13.440;G
01.13.447;Килограмм;Необработанные имбирь, шафран, тимьян, лавровый лист, карри;7;01.13.440;G
01.13.990;;Прочие виды товаров, относящиеся к группировке 01.13.000;6;01.13.000;G
01.2;;Живые животные и продукты животного происхождения;4;01;
01.21.000;;Живой крупный рогатый скот и продукция его разведения, живые дикие жвачные животные;5;01.2;
01.21.110;Голова;Чистопородный племенной крупный рогатый скот;6;01.21.000;G
01.21.120;Голова;Взрослый крупный рогатый скот молочного стада, кроме чистопородного племенного;6;01.21.000;G
01.21.130;Голова;Молодняк крупного рогатого скота молочного стада, кроме чистопородного племенного;6;01.21.000;G
01.21.140;Голова;Взрослый крупный рогатый скот мясного стада, кроме, чистопородного племенного;6;01.21.000;G
01.21.150;Голова;Молодняк крупного рогатого скота мясного стада, кроме чистопородного племенного;6;01.21.000;G
01.21.160;Голова;Волы;6;01.21.000;G
01.21.210;Голова;Дикие жвачные животные;6;01.21.000;G
01.21.220;Голова;Телята до 1 года молочного скота;6;01.21.000;G
01.21.230;Голова;Телята до 1 года мясного скота;6;01.21.000;G
01.21.310;Литр; кубический дециметр;Сырое коровье молоко;6;01.21.000;G
01.21.320;Литр; кубический дециметр;Сырое молоко прочего крупного рогатого скота;6;01.21.000;G
01.21.410;Литр; кубический дециметр;Бычья сперма;6;01.21.000;G
01.21.990;;Прочие виды товаров, относящиеся к группировке 01.21.000;6;01.21.000;G
01.22.000;;Живые овцы, козы, лошади, ослы, мулы и лошаки и продукция их разведения;5;01.2;
01.22.110;Голова;Чистопородные племенные овцы;6;01.22.000;G
01.22.120;Голова;Взрослые овцы тонкорунных пород, кроме чистопородных племенных;6;01.22.000;G
01.22.130;Голова;Взрослые овцы тонкорунных пород на откорме;6;01.22.000;G
01.22.140;Голова;Молодняк овец тонкорунных пород всех возрастов, кроме молодняка чистопородных племенных;6;01.22.000;G
01.22.150;Голова;Взрослые овцы полутонкорунных пород, кроме чистопородных племенных;6;01.22.000;G
01.22.160;Голова;Взрослые овцы полутонкорунных пород на откорме;6;01.22.000;G
01.22.170;Голова;Молодняк овец полутонкорунных пород всех возрастов, кроме молодняка чистопородных племенных овец полутонкорунных пород;6;01.22.000;G
01.22.180;Голова;Взрослые овцы полугрубошерстных пород, кроме взрослых чистопородных племенных овец полугрубошерстных пород;6;01.22.000;G
01.22.210;Голова;Взрослые овцы полугрубошерстных пород на откорме;6;01.22.000;G
01.22.220;Голова;Молодняк овец полугрубошерстных пород всех возрастов, кроме молодняка чистопородных племенных овец полугрубошерстных пород;6;01.22.000;G
01.22.230;Голова;Взрослые овцы грубошерстных пород, кроме взрослых чистопородных племенных овец грубошерстных пород;6;01.22.000;G
01.22.240;Голова;Взрослые овцы грубошерстных пород на откорме;6;01.22.000;G
01.22.250;Голова;Молодняк овец грубошерстных пород всех возрастов, кроме молодняка чистопородных племенных овец грубошерстных пород;6;01.22.000;G
01.22.260;Голова;Дикие животные рода баранов;6;01.22.000;G
01.22.310;Голова;Чистопородные племенные козы;6;01.22.000;G
01.22.320;Голова;Взрослые козы, кроме чистопородных племенных коз;6;01.22.000;G
01.22.330;Голова;Молодняк коз всех возрастов, кроме молодняка чистопородных племенных коз;6;01.22.000;G
01.22.340;Голова;Дикие козы;6;01.22.000;G
01.22.410;Голова;Взрослые чистопородные племенные лошади;6;01.22.000;G
01.22.420;Голова;Чистопородный племенной молодняк лошадей;6;01.22.000;G
01.22.430;Голова;Взрослые пользовательные лошади, кроме убойных;6;01.22.000;G
01.22.440;Голова;Молодняк пользовательных лошадей, кроме убойных;6;01.22.000;G
01.22.450;Голова;Убойные лошади;6;01.22.000;G
01.22.460;Голова;Пони;6;01.22.000;G
01.22.470;Голова;Чистопородные племенные ослы;6;01.22.000;G
01.22.480;Голова;Ослы, кроме чистопородных племенных;6;01.22.000;G
01.22.510;Голова;Мулы и лошаки;6;01.22.000;G
01.22.520;Голова;Дикие лошади, ослы, мулы и лошаки;6;01.22.000;G
01.22.540;Литр; кубический дециметр;Сырое овечье молоко;6;01.22.000;G
01.22.550;Литр; кубический дециметр;Сырое козье молоко;6;01.22.000;G
01.22.610;Тонна;Немытая стриженая шерсть, включая стриженую шерсть, промытую руном, не подвергнутая кардо- или гребнечесанию;6;01.22.000;G
01.22.720;Тонна;Тонкий волос животных, не подвергнутый кардо- и гребнечесанию;6;01.22.000;G
01.22.730;Тонна;Грубый волос животных, не подвергнутый кардо- и гребнечесанию;6;01.22.000;G
01.22.740;Тонна;Конский волос и его отходы, в том числе в виде полотна на подложке или без нее;6;01.22.000;G
01.22.990;;Прочие виды товаров, относящиеся к группировке 01.22.000;6;01.22.000;G
01.23.000;;Живые свиньи;5;01.2;
01.23.110;Голова;Чистопородные племенные свиньи;6;01.23.000;G
01.23.120;Голова;Свиньи основного стада, кроме чистопородных;6;01.23.000;G
01.23.130;Голова;Ремонтные свинки;6;01.23.000;G
01.23.140;Голова;Ремонтные хрячки;6;01.23.000;G
01.23.150;Голова;Молодняк свиней до 4 месяцев;6;01.23.000;G
01.23.160;Голова;Свиньи на откорме;6;01.23.000;G
01.23.170;Голова;Дикие свиньи;6;01.23.000;G
01.23.990;Голова;Прочие виды товаров, относящиеся к группировке 01.23.000;6;01.23.000;G
01.24.000;;Живая сельскохозяйственная птица и яйца;5;01.2;
01.24.110;Голова;Куры родительского стада племенного разведения;6;01.24.000;G
01.24.120;Голова;Куры яичных пород родительского стада, кроме племенного разведения;6;01.24.000;G
01.24.130;Голова;Куры яичных пород промышленного стада;6;01.24.000;G
01.24.140;Голова;Куры мясных и мясо-яичных пород;6;01.24.000;G
01.24.150;Голова;Гуси;6;01.24.000;G
01.24.160;Голова;Утки;6;01.24.000;G
01.24.170;Голова;Индейки;6;01.24.000;G
01.24.210;Голова;Цесарки;6;01.24.000;G
01.24.220;Голова;Перепелки;6;01.24.000;G
01.24.310;;Яйца в скорлупе;6;01.24.000;
01.24.311;Тысяча штук;Куриные яйца;7;01.24.310;G
01.24.312;Тысяча штук;Яйца гусей;7;01.24.310;G
01.24.313;Тысяча штук;Яйца уток;7;01.24.310;G
01.24.314;Тысяча штук;Яйца индеек;7;01.24.310;G
01.24.315;Тысяча штук;Яйца цесарок;7;01.24.310;G
01.24.316;Тысяча штук;Яйца перепелок;7;01.24.310;G
01.24.990;;Прочие виды товаров, относящиеся к группировке 01.24.000;6;01.24.000;G
01.25.000;;Прочие живые животные и продукция их разведения;5;01.2;
01.25.110;Голова;Северные олени;6;01.25.000;G
01.25.120;Голова;Пятнистые олени;6;01.25.000;G
01.25.130;Голова;Олени - маралы;6;01.25.000;G
01.25.140;Голова;Прочие виды оленей;6;01.25.000;G
01.25.150;Голова;Верблюды-дромедары (одногорбые);6;01.25.000;G
01.25.160;Голова;Верблюды-бактрианы (двугорбые);6;01.25.000;G
01.25.170;Голова;Домашние кролики;6;01.25.000;G
01.25.180;Голова;Пушные звери клеточного разведения, кроме домашних кроликов;6;01.25.000;G
01.25.210;Голова;Живые животные для научно-исследовательских целей;6;01.25.000;G
01.25.220;Голова;Млекопитающие, не включенные в другие группировки, кроме используемых для научно-исследовательских целей;6;01.25.000;G
01.25.250;Килограмм;Медоносные пчелы;6;01.25.000;G
01.25.260;Килограмм;Тутовый шелкопряд;6;01.25.000;G
01.25.270;Голова;Прочие живые животные, не включенные в другие группировки;6;01.25.000;G
01.25.310;Тонна;Натуральный пчелиный мед;6;01.25.000;G
01.25.320;Тонна;Натуральный мед прочих насекомых;6;01.25.000;G
01.25.330;Килограмм;Улитки, кроме морских улиток (липариса);6;01.25.000;G
01.25.340;Килограмм;Свежие, охлажденные или мороженые лапки лягушек;6;01.25.000;G
01.25.350;Литр; кубический дециметр;Сырое кобылье, верблюжье молоко, молоко прочих животных, не включенное в другие группировки;6;01.25.000;G
01.25.410;Килограмм;Племенные коконы шелкопряда, пригодные для разматывания;6;01.25.000;G
01.25.420;Килограмм;Гибридные коконы шелкопряда, пригодные для разматывания;6;01.25.000;G
01.25.430;Килограмм;Племенные грена шелкопряда;6;01.25.000;G
01.25.440;Килограмм;Гибридные грена шелкопряда;6;01.25.000;G
01.25.450;Тонна;Воск насекомых;6;01.25.000;G
01.25.460;Тонна;Спермацет;6;01.25.000;G
01.25.510;;Пушно-меховое сырье (невыделанные шкурки), кроме шкурок смушковых ягнят;6;01.25.000;
01.25.511;Квадратный дециметр;Шкурки норки;7;01.25.510;G
01.25.512;Квадратный дециметр;Шкурки кролика и зайца;7;01.25.510;G
01.25.513;Квадратный дециметр;Шкурки лисицы;7;01.25.510;G
01.25.514;Квадратный дециметр;Шкуры тюленя;7;01.25.510;G
01.25.515;Квадратный дециметр;Шкурки калана и нутрии;7;01.25.510;G
01.25.516;Квадратный дециметр;Шкурки животных семейства куньих, кроме калана и норки;7;01.25.510;G
01.25.517;Квадратный дециметр;Шкурки животных семейства беличьих;7;01.25.510;G
01.25.518;Квадратный дециметр;Шкурки бобра;7;01.25.510;G
01.25.520;Штука;Головы, хвосты и лапы и другие части или обрезки шкурок, пригодные для изготовления меховых изделий;6;01.25.000;G
01.25.530;Штука;Чистопородный, невыделанный каракуль;6;01.25.000;G
01.25.540;Штука;Невыделанный каракуль-метис всех цветов;6;01.25.000;G
01.25.550;Штука;Невыделанная смушка;6;01.25.000;G
01.25.610;Квадратный дециметр;Шкуры свиней;6;01.25.000;G
01.25.620;Квадратный дециметр;Шкуры пресмыкающихся (рептилий);6;01.25.000;G
01.25.630;Квадратный дециметр;Шкуры и кожи прочих животных, не включенные в другие группировки;6;01.25.000;G
01.25.990;;Прочие виды товаров, относящиеся к группировке 01.25.000;6;01.25.000;G
01.4;;Услуги в области растениеводства и животноводства, кроме ветеринарных услуг, услуги в области декоративного садоводства;4;01;
01.41.000;;Услуги, связанные с выращиванием сельскохозяйственных культур; услуги, связанные с декоративным садоводством;5;01.4;
01.41.110;;Услуги, связанные с полеводством;6;01.41.000;S
01.41.120;;Услуги по проведению работ в овощеводстве открытого грунта;6;01.41.000;S
01.41.130;;Услуги по проведению работ в защищенном грунте;6;01.41.000;S
01.41.140;;Услуги по проведению агромелиоративных работ;6;01.41.000;S
01.41.150;;Услуги по защите растений от болезней и вредителей;6;01.41.000;S
01.41.160;;Услуги по подготовке и внесению удобрений;6;01.41.000;S
01.41.170;;Услуги по снегозадержанию;6;01.41.000;S
01.41.210;;Услуги, связанные с работами в садах, на виноградниках и на плантациях других многолетних насаждений;6;01.41.000;S
01.41.220;;Услуги по устройству газонов, парков и аналогичных насаждений и уходу за ними;6;01.41.000;S
01.41.230;;Услуги по погрузке, разгрузке и транспортированию продукции садов, парков и аналогичны насаждений;6;01.41.000;S
01.41.240;;Услуги по защите насаждений от болезней и вредителей;6;01.41.000;S
01.41.990;;Прочие виды услуг, относящиеся к группировке 01.41.000;6;01.41.000;S
01.42.000;;Услуги в области животноводства (кроме ветеринарных услуг);5;01.4;
01.42.110;;Услуги по уходу за крупным рогатым скотом;6;01.42.000;S
01.42.120;;Услуги, связанные со свиноводством;6;01.42.000;S
01.42.130;;Услуги, связанные с овцеводством;6;01.42.000;S
01.42.140;;Услуги, связанные с козоводством;6;01.42.000;S
01.42.150;;Услуги, связанные с птицеводством;6;01.42.000;S
01.42.160;;Услуги, связанные с коневодством и разведением прочих животных семейства лошадиных;6;01.42.000;S
01.42.170;;Услуги, связанные с верблюдоводством;6;01.42.000;S
01.42.180;;Услуги, связанные с оленеводством;6;01.42.000;S
01.42.210;;Услуги по проведению работ в прочих отраслях животноводства;6;01.42.000;S
01.42.220;;Услуги по подготовке кормов для кормления животных, раздаче кормов, поению животных;6;01.42.000;S
01.42.990;;Прочие виды услуг, относящиеся к группировке 01.42.000;6;01.42.000;S
01.5;;Услуги, связанные с охотой, ловлей и разведением диких животных;4;01;
01.50.000;;Услуги, связанные с охотой, ловлей и разведением диких животных;5;01.5;
01.50.110;;Услуги, связанные с изучением охотничьих угодий;6;01.50.000;S
01.50.120;;Услуги, связанные с охотой, включая ловлю животных, для получения продуктов питания, шкур, кожи;6;01.50.000;S
01.50.130;;Услуги, связанные с ловлей животных для использования их в исследовательских целях, в зоопарках, для переселения или в качестве домашних животных;6;01.50.000;S
